================================================================================
Byte-by-byte Description of file: plan_bin500au.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Explanations
--------------------------------------------------------------------------------
   1- 15 A15    ---     Most commonly used name of the parent star
  16- 25 A10    ---     Alternate name (if any, otherwise "X")
  26- 31 F6.3   Msun    Mass of the parent star
  32- 37 F6.3   Msun    Mass of the companion star
  38- 45 F8.2   pc      Distance to the system
  46- 47 I2     ---     Method of detection (1=transit, 2=RV, 3=other)
  48- 54 F7.2   au      semi-major axis of the binary (if orbit known) or projected separation between the 2 stars
  55- 61 F7.3   ---     eccentricicy of the binary's orbit (if orbit unknown then e=99.)
  62- 63 I2     ---     Number of detected planets orbiting the star
  64- 71 F8.4   au      semi-major axis of the outermost planet in the system
  72- 77 F6.3   ---     eccentricity of the outermost planet in the system
  78- 86 F9.5   Mjup    estimated mass of the outermost planet in the system
  87- 93 F7.2   au      critical distance to parent star for orbital stability (assuming coplanarity and using empirical formula of Holman&Wiegert(1999))
  94-101 F8.3   deg     inclination between binary and planetary orbital planes (if unknown then 999.)

Note 1: complete for all S-type planet-hosting binaries of separation <500au
Note 2: when only the radius of the planet is known, its mass is (very) roughly estimated with a crude R_plan**3 scaling.
Note 3: for notes and references on individual systems, please go to exoplanet.eu/planets_binary_notes
--------------------------------------------------------------------------------
     Kepler1443   KOI3234 1.330 1.110  643.30 1  43.00  0.010 1  0.0380 0.000  0.00200  12.36  67.000
OGLE2008BLG092L         X 0.710 0.153 7000.00 3  48.00 99.000 1 15.0000 0.000  0.12350  19.04 999.000
        TOI4633         X 1.100 1.050   95.20 1  48.60  0.910 1  0.8470 0.117  0.01500   0.55 999.000
          70Vir         X 0.920 0.080   22.00 2  52.00 99.000 1  0.4800 0.430  6.60000  22.55 999.000
      Kepler444  HIP94931 0.760 0.430   33.30 1  52.20  0.550 5  0.0811 0.290  0.00128   6.26   0.000
        K2-288B         X 0.330 0.520   69.30 1  54.80 99.000 1  0.1110 0.000  0.02100  12.69 999.000
      Kepler449    KOI270 1.000 0.900  260.10 1  55.00  0.100 2  0.2020 0.050  0.01500  13.71   3.200
         GJ9714  HD199981 0.670 0.160   20.49 2  55.15 99.000 1 12.3190 0.155  9.40300  21.55 999.000
       HIP94235   TOI4399 1.094 0.260   58.83 1  56.00  0.250 1  0.0780 0.320  0.00300  15.03  19.300
      Kepler520    KOI307 1.110 1.050  787.50 1  61.00  0.670 2  0.1470 0.000  0.00800   4.36  39.000
         WASP20         X 1.089 0.880  235.00 1  61.00 99.000 1  0.0600 0.000  0.31300  17.94 999.000
      Gliese725         X 0.330 0.250    3.50 2  63.00  0.290 1  0.0680 0.200  2.78000  12.34 999.000
       HD207496         X 0.800 0.400   23.64 1  63.74 99.000 1  0.0629 0.230  0.01920  21.50 999.000
         TOI402         X 0.851 0.119   44.90 1  65.80 99.000 1  0.1230 0.000  0.02760  27.46 999.000
         GJ3021    HD1237 0.900 0.090   17.62 2  68.00 99.000 1  0.4900 0.511  3.37000  29.20 999.000
     BX Tri(AB)         X 0.770 0.110   59.00 3  71.00 99.000 1  4.5000 0.400  7.50000  29.57 999.000
      Kepler437   KOI3255 0.710 0.355  417.00 1  75.06 99.000 1  0.2880 0.000  0.02000  25.32 999.000
        TOI1450         X 0.474 0.140   22.43 1  76.40 99.000 2  0.0390 0.000  0.00480  28.83 999.000
      Kepler296   KOI1422 0.500 0.330  558.00 1  80.00 99.000 5  0.2630 0.000  0.00400  25.03 999.000
       HD115404         X 0.840 0.460   10.98 2  84.28 99.000 2 11.3640 0.211 10.31000  27.77 999.000
         WASP76         X 1.460 0.790  194.50 1  84.80 99.000 1  0.0330 0.000  0.92000  28.03 999.000
         TOI640         X 1.540 0.770  341.90 1  85.00 99.000 1  0.0660 0.050  0.88000  28.67 999.000
       Kepler21  HD179070 1.410 0.440  113.00 1  86.70 99.000 1  0.0425 0.000  0.00310  32.39 999.000
        TOI1634         X 0.502 0.170   35.27 1  90.00 99.000 1  0.0154 0.160  0.01540  33.11 999.000
       HD153557         X 0.745 0.470   17.94 2  91.30 99.000 3 21.4500 0.152 27.45000  28.94 999.000
        HD30856         X 1.350 0.540  118.00 2  93.00 99.000 1  1.8000 0.117  1.80000  33.05 999.000
       Gliese15    HD1326 0.375 0.189    3.56 2  93.00  0.530 2  5.4000 0.270  0.11000  12.07 999.000
        TOI1452         X 0.249 0.226   30.50 1  97.00 99.000 1  0.0610 0.000  0.01517  27.47 999.000
       HD177830         X 1.470 0.240   59.20 2  97.00 99.000 2  1.2218 0.000  1.49000  39.83 999.000
      BD+631405         X 0.820 0.319   38.09 2  97.00 99.000 1  2.0600 0.880  3.96000  34.68 999.000
       HD155918         X 1.030 0.154   27.63 2  98.37 99.000 2 13.1830 0.071  5.90900  40.78 999.000
          HD142         X 1.100 0.580   26.20 2 101.87 99.000 2  6.8000 0.210  5.30000  33.90 999.000
      Kepler907   KOI1613 1.190 0.870  492.60 1 102.50  0.230 1  0.1200 0.000  0.00500  22.43   3.500
        WASP130         X 1.040 0.300  172.30 1 103.38 99.000 1  0.1010 0.000  1.23000  39.17 999.000
          WASP2         X 0.851 0.400  144.00 1 106.00 99.000 1  0.0310 0.000  0.84700  36.30 999.000
        TOI1820         X 1.040 0.300  250.00 1 110.00 99.000 1  0.0690 0.043  2.30000  41.68 999.000
         K2-290         X 1.190 0.368  272.90 1 113.00 99.000 2  0.3050 0.000  0.77400  42.29 999.000
       HD207832         X 0.980 0.210   54.40 2 113.00 99.000 2  2.1100 0.270  0.73000  44.85 999.000
       HIP68648  HD122194 1.050 0.360   99.90 2 114.00 99.000 2  0.6650 0.040  0.09400  41.84 999.000
      Kepler884   KOI1531 0.950 0.670  323.60 1 119.70 99.000 1  0.0600 0.000  0.00500  36.73 999.000
        HD18143         X 0.850 0.640   22.52 2 120.00 99.000 2 17.5300 0.194  9.99000  36.09 999.000
     Kepler1410   KOI3010 0.630 0.315  367.00 1 121.10 99.000 1  0.2400 0.000  0.01200  40.85 999.000
