  0.0000000E+00     1   5.0000000E-01   1.0000000E-01   1.0000000E+00   3.6000000E+02   3.2697042E-06   2.0000000E+01
  0.0000000E+00     2   7.5000000E-01   2.0000000E-01   2.0000000E+00   2.3660469E-06   3.6000000E+02   0.0000000E+00
  0.0000000E+00     3   1.0000000E+00   2.0000000E-01   2.0000000E+00   1.6730478E-06   3.6000000E+02   0.0000000E+00
  0.0000000E+00     4   1.3000000E+00   2.0000000E-01   2.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
  0.0000000E+00     5   1.6000000E+00   2.0000000E-01   2.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
  1.0000000E+01     1   4.9861798E-01   8.9705549E-02   9.9850406E-01   1.2438648E+02   3.5983834E+02   2.0182684E+01
  1.0000000E+01     2   7.3210980E-01   1.4963422E-01   1.9737087E+00   2.5372342E+02   2.7817803E-01   3.3614186E-02
  1.0000000E+01     3   9.5917056E-01   1.1939818E-01   1.9532502E+00   1.2978891E+02   3.5920799E+02   1.7958072E-01
  1.0000000E+01     4   1.2408085E+00   1.0231084E-01   1.9454080E+00   8.4898732E+00   6.9211957E-01   8.5133529E-02
  1.0000000E+01     5   1.5466413E+00   1.3160617E-01   1.9612107E+00   2.8175327E+01   5.9570128E-01   5.2339231E-02
  2.0000000E+01     1   4.9756649E-01   8.0524571E-02   9.9709015E-01   2.8566028E+02   3.5964808E+02   2.0378839E+01
  2.0000000E+01     2   7.2262265E-01   1.1095344E-01   1.9514789E+00   3.0078216E+02   1.1635541E+00   3.5996378E+02
  2.0000000E+01     3   9.4511141E-01   7.0577087E-02   1.9132110E+00   4.6583419E+01   1.1721055E+00   7.2281964E-02
  2.0000000E+01     4   1.2256866E+00   5.3913792E-02   1.9008547E+00   1.2214534E+02   3.5975712E+02   2.1654417E-01
  2.0000000E+01     5   1.5226817E+00   8.4910676E-02   1.9293347E+00   1.2536861E+02   3.5999441E+02   2.2608429E-01
  3.0000000E+01     1   4.9662538E-01   7.2120279E-02   9.9565227E-01   1.1806722E+02   3.5943184E+02   2.0581199E+01
  3.0000000E+01     2   7.1790201E-01   8.0348979E-02   1.9316699E+00   7.1919189E+01   1.1019447E+00   3.5992844E+02
  3.0000000E+01     3   9.3972368E-01   4.2488862E-02   1.8765587E+00   2.4727308E+01   3.5931560E+02   8.3887946E-02
  3.0000000E+01     4   1.2202525E+00   2.9409796E-02   1.8566571E+00   2.6125406E+02   4.1217723E+00   1.7236938E-01
  3.0000000E+01     5   1.5133545E+00   5.6656781E-02   1.8972694E+00   2.5055931E+02   7.4427839E-01   1.7409208E-01
  4.0000000E+01     1   4.9589792E-01   6.4980799E-02   9.9438615E-01   3.3532772E+02   3.5940471E+02   2.0758268E+01
  4.0000000E+01     2   7.1540410E-01   5.8235591E-02   1.9121582E+00   2.4897267E+02   3.5909846E+02   3.5990221E+02
  4.0000000E+01     3   9.3694975E-01   2.9727190E-02   1.8413906E+00   2.5519082E+01   3.5994565E+02   8.8680609E-02
  4.0000000E+01     4   1.2185219E+00   1.3019159E-02   1.8158878E+00   5.5148790E+01   4.2904786E+00   1.6933494E-01
  4.0000000E+01     5   1.5092184E+00   3.6994366E-02   1.8694399E+00   2.8268565E+01   2.0457254E+00   1.1122281E-01
  5.0000000E+01     1   4.9532213E-01   5.8147567E-02   9.9352797E-01   2.1299214E+02   3.5950968E+02   2.0948161E+01
  5.0000000E+01     2   7.1394301E-01   4.1571042E-02   1.8940816E+00   9.1025014E+01   3.5572425E+02   3.5985295E+02
  5.0000000E+01     3   9.3527339E-01   1.9594910E-02   1.8071746E+00   3.0099534E+01   1.0945521E+01   8.7688253E-02
  5.0000000E+01     4   1.2173940E+00   7.7800173E-03   1.7756971E+00   2.3433241E+02   3.4379062E+02   2.0665701E-01
  5.0000000E+01     5   1.5064526E+00   2.2247038E-02   1.8418249E+00   1.7339991E+02   2.1749649E+00   1.6212729E-01
  6.0000000E+01     1   4.9481954E-01   5.2302832E-02   9.9251605E-01   1.0796107E+02   3.5921161E+02   2.1116770E+01
  6.0000000E+01     2   7.1314374E-01   2.9414973E-02   1.8760319E+00   3.0786616E+02   3.5123881E+02   3.5981179E+02
  6.0000000E+01     3   9.3426159E-01   9.2281388E-03   1.7737477E+00   3.7475015E+01   2.7033309E+01   8.1321296E-02
  6.0000000E+01     4   1.2165394E+00   6.2506562E-03   1.7367150E+00   2.8260924E+01   3.5158625E+02   2.1358057E-01
  6.0000000E+01     5   1.5053949E+00   1.6142305E-02   1.8148880E+00   3.2617087E+02   3.5847735E+02   1.0626119E-01
  7.0000000E+01     1   4.9440818E-01   4.6975608E-02   9.9148249E-01   1.6258514E+01   3.5957910E+02   2.1279879E+01
  7.0000000E+01     2   7.1264530E-01   2.0587956E-02   1.8585603E+00   1.7917207E+02   3.4038955E+02   3.5978074E+02
  7.0000000E+01     3   9.3370686E-01   5.5046406E-03   1.7412030E+00   6.6102549E+01   2.6753603E+01   7.9736503E-02
  7.0000000E+01     4   1.2154927E+00   3.7868123E-03   1.6986003E+00   1.7367113E+02   1.1212521E+01   2.4380611E-01
  7.0000000E+01     5   1.5045234E+00   1.0811703E-02   1.7881633E+00   1.1003102E+02   6.1156623E+00   9.7682423E-02
  8.0000000E+01     1   4.9407635E-01   4.2090496E-02   9.9042715E-01   2.9682719E+02   3.5931796E+02   2.1437530E+01
  8.0000000E+01     2   7.1225219E-01   1.5302556E-02   1.8410805E+00   5.7549196E+01   3.2801475E+02   3.5973139E+02
  8.0000000E+01     3   9.3302527E-01   7.3909352E-03   1.7091011E+00   1.1792618E+02   7.2152708E+00   8.4730163E-02
  8.0000000E+01     4   1.2146548E+00   2.2252706E-03   1.6615210E+00   2.8663142E+02   6.6441915E+01   2.5390455E-01
  8.0000000E+01     5   1.5031694E+00   5.3863080E-03   1.7611683E+00   2.6318888E+02   6.0640881E+00   7.3808086E-02
  9.0000000E+01     1   4.9382009E-01   3.7955327E-02   9.8949032E-01   2.2659736E+02   3.5958092E+02   2.1604195E+01
  9.0000000E+01     2   7.1179215E-01   1.2199600E-02   1.8240636E+00   3.0937335E+02   3.0736522E+02   3.5968056E+02
  9.0000000E+01     3   9.3281672E-01   8.2604473E-03   1.6774068E+00   1.3742398E+02   2.4273881E+01   9.0818153E-02
  9.0000000E+01     4   1.2137141E+00   1.8032699E-03   1.6248734E+00   3.4767839E+02   1.7598529E+02   2.7230374E-01
  9.0000000E+01     5   1.5024087E+00   4.1756131E-03   1.7351268E+00   7.1733209E+01   3.5218757E+02   5.8381232E-02
  1.0000000E+02     1   4.9356547E-01   3.3910596E-02   9.8849632E-01   1.6506792E+02   3.5930967E+02   2.1765110E+01
  1.0000000E+02     2   7.1132738E-01   1.1451747E-02   1.8072992E+00   2.0499428E+02   2.8887599E+02   3.5963567E+02
  1.0000000E+02     3   9.3197451E-01   6.7867319E-03   1.6459864E+00   1.3893922E+02   6.2983529E+01   8.4672713E-02
  1.0000000E+02     4   1.2129898E+00   2.8945403E-03   1.5893095E+00   7.3673710E+01   2.6300916E+02   2.9546723E-01
  1.0000000E+02     5   1.5018712E+00   3.8664770E-03   1.7092653E+00   2.0985820E+02   1.0251499E+01   5.0912671E-02
  1.1000000E+02     1   4.9334989E-01   3.0541753E-02   9.8767902E-01   1.0962818E+02   3.5992837E+02   2.1910569E+01
  1.1000000E+02     2   7.1083255E-01   1.2696486E-02   1.7903294E+00   1.0063040E+02   2.7668638E+02   3.5958594E+02
  1.1000000E+02     3   9.3139968E-01   4.9794737E-03   1.6156645E+00   1.4809927E+02   9.6968862E+01   6.3439059E-02
  1.1000000E+02     4   1.2123541E+00   3.2450095E-03   1.5543613E+00   1.6542868E+02   3.4710372E+02   3.2178783E-01
  1.1000000E+02     5   1.5008470E+00   1.4696426E-03   1.6842315E+00   3.4499873E+02   3.2675899E+01   3.9070891E-02
  1.2000000E+02     1   4.9318975E-01   2.7293984E-02   9.8665283E-01   6.1033823E+01   3.5965382E+02   2.2048943E+01
  1.2000000E+02     2   7.1035251E-01   1.2789760E-02   1.7737925E+00   3.5855927E+02   2.6868189E+02   3.5952930E+02
  1.2000000E+02     3   9.3108689E-01   2.8091312E-03   1.5860542E+00   2.3780311E+02   5.2877144E+01   6.3328662E-02
  1.2000000E+02     4   1.2115943E+00   2.8052346E-03   1.5201495E+00   2.6943311E+02   6.1908875E+01   3.4468772E-01
  1.2000000E+02     5   1.5000779E+00   1.1282186E-03   1.6597043E+00   2.4170853E+02   2.9490771E+02   1.3973853E-02
  1.3000000E+02     1   4.9301816E-01   2.4583496E-02   9.8563883E-01   1.6882199E+01   7.4674220E-02   2.2187966E+01
  1.3000000E+02     2   7.0984672E-01   1.3998293E-02   1.7575620E+00   2.6406425E+02   2.5959929E+02   3.5947478E+02
  1.3000000E+02     3   9.3071670E-01   5.9567256E-03   1.5567032E+00   3.1132245E+02   2.7467218E+01   6.4030468E-02
  1.3000000E+02     4   1.2105553E+00   2.7891842E-03   1.4867860E+00   3.5154132E+02   1.6147058E+02   3.7459530E-01
  1.3000000E+02     5   1.4994195E+00   1.5579959E-03   1.6352012E+00   3.3875991E+02   3.5816287E+02   3.5998813E+02
  1.4000000E+02     1   4.9289757E-01   2.2041226E-02   9.8464947E-01   3.3785358E+02   3.5987300E+02   2.2318673E+01
  1.4000000E+02     2   7.0916603E-01   1.4897905E-02   1.7413485E+00   1.7636858E+02   2.5096718E+02   3.5940320E+02
  1.4000000E+02     3   9.3026945E-01   6.8045545E-03   1.5274363E+00   3.2487777E+02   6.4861349E+01   6.6748192E-02
  1.4000000E+02     4   1.2101199E+00   2.9524622E-03   1.4539238E+00   7.2354081E+01   2.6481813E+02   4.1179216E-01
  1.4000000E+02     5   1.4986433E+00   1.4934055E-03   1.6113870E+00   7.8132584E+01   6.0540868E+01   3.5995520E+02
  1.5000000E+02     1   4.9279881E-01   1.9721091E-02   9.8367050E-01   3.0209327E+02   3.6495052E-01   2.2450968E+01
  1.5000000E+02     2   7.0867099E-01   1.4198756E-02   1.7254369E+00   9.5012914E+01   2.4334068E+02   3.5933227E+02
  1.5000000E+02     3   9.2977542E-01   4.7337114E-03   1.4992903E+00   3.5746196E+02   8.5967896E+01   5.5589638E-02
  1.5000000E+02     4   1.2090214E+00   2.7206406E-03   1.4220784E+00   1.7893097E+02   3.4505179E+02   4.5566935E-01
  1.5000000E+02     5   1.4980535E+00   5.1854814E-04   1.5872967E+00   8.9048773E+01   2.1276130E+02   3.5991779E+02
  1.6000000E+02     1   4.9267163E-01   1.7865881E-02   9.8280108E-01   2.7003241E+02   6.7592362E-01   2.2576918E+01
  1.6000000E+02     2   7.0819267E-01   1.3806836E-02   1.7093099E+00   2.7503921E+01   2.2815048E+02   3.5922875E+02
  1.6000000E+02     3   9.2942349E-01   3.9055440E-03   1.4717352E+00   1.3414320E+02   5.5079034E+00   8.3462540E-02
  1.6000000E+02     4   1.2080048E+00   2.7137747E-03   1.3906182E+00   2.6726833E+02   8.6583382E+01   4.8596507E-01
  1.6000000E+02     5   1.4975778E+00   1.0464868E-03   1.5639313E+00   1.8331319E+02   2.8294018E+02   3.5988823E+02
  1.7000000E+02     1   4.9256277E-01   1.5960894E-02   9.8165777E-01   2.4182793E+02   3.5634080E-01   2.2700365E+01
  1.7000000E+02     2   7.0783178E-01   1.2701413E-02   1.6929399E+00   3.2586460E+02   2.1311545E+02   3.5914228E+02
  1.7000000E+02     3   9.2916833E-01   6.8398400E-03   1.4445226E+00   1.9467300E+02   4.2749257E+00   9.5034078E-02
  1.7000000E+02     4   1.2073182E+00   2.7253024E-03   1.3599642E+00   3.5610370E+02   1.9029018E+02   5.3342699E-01
  1.7000000E+02     5   1.4971411E+00   7.4603469E-04   1.5404370E+00   2.5055084E+02   2.1443344E+01   3.5984814E+02
  1.8000000E+02     1   4.9249968E-01   1.4219435E-02   9.8061539E-01   2.1577142E+02   8.2704363E-01   2.2811971E+01
  1.8000000E+02     2   7.0733862E-01   1.1064385E-02   1.6762278E+00   2.7325445E+02   1.9460742E+02   3.5905205E+02
  1.8000000E+02     3   9.2838688E-01   3.0663981E-03   1.4180375E+00   2.4707109E+02   1.4556208E+01   8.6890419E-02
  1.8000000E+02     4   1.2064193E+00   2.5601584E-03   1.3299020E+00   9.9391853E+01   2.8217410E+02   5.6593753E-01
