  0.0000000E+00   5.000000000E-01   1.000000000E-01   1.000000000E+00   3.599999973E+02   3.269704153E-06   2.000000000E+01
  1.0000000E+01   4.986179811E-01   8.970554858E-02   9.985040632E-01   1.243864801E+02   3.598383438E+02   2.018268405E+01
  2.0000000E+01   4.975664923E-01   8.052457081E-02   9.970901501E-01   2.856602802E+02   3.596480782E+02   2.037883895E+01
  3.0000000E+01   4.966253805E-01   7.212027865E-02   9.956522654E-01   1.180672197E+02   3.594318435E+02   2.058119947E+01
  4.0000000E+01   4.958979177E-01   6.498079902E-02   9.943861531E-01   3.353277154E+02   3.594047067E+02   2.075826787E+01
  5.0000000E+01   4.953221343E-01   5.814756741E-02   9.935279741E-01   2.129921379E+02   3.595096806E+02   2.094816111E+01
  6.0000000E+01   4.948195420E-01   5.230283208E-02   9.925160472E-01   1.079610723E+02   3.592116114E+02   2.111677020E+01
  7.0000000E+01   4.944081756E-01   4.697560789E-02   9.914824897E-01   1.625851403E+01   3.595790960E+02   2.127987917E+01
  8.0000000E+01   4.940763487E-01   4.209049627E-02   9.904271467E-01   2.968271927E+02   3.593179606E+02   2.143752969E+01
  9.0000000E+01   4.938200927E-01   3.795532735E-02   9.894903192E-01   2.265973553E+02   3.595809151E+02   2.160419460E+01
  1.0000000E+02   4.935654661E-01   3.391059647E-02   9.884963247E-01   1.650679177E+02   3.593096696E+02   2.176511032E+01
  1.1000000E+02   4.933498925E-01   3.054175304E-02   9.876790163E-01   1.096281823E+02   3.599283681E+02   2.191056882E+01
  1.2000000E+02   4.931897450E-01   2.729398369E-02   9.866528344E-01   6.103382318E+01   3.596538238E+02   2.204894284E+01
  1.3000000E+02   4.930181611E-01   2.458349573E-02   9.856388268E-01   1.688219932E+01   7.467421950E-02   2.218796589E+01
  1.4000000E+02   4.928975693E-01   2.204122627E-02   9.846494744E-01   3.378535778E+02   3.598730005E+02   2.231867259E+01
  1.5000000E+02   4.927988111E-01   1.972109106E-02   9.836704960E-01   3.020932741E+02   3.649505180E-01   2.245096753E+01
  1.6000000E+02   4.926716338E-01   1.786588091E-02   9.828010757E-01   2.700324107E+02   6.759236221E-01   2.257691777E+01
  1.7000000E+02   4.925627661E-01   1.596089367E-02   9.816577722E-01   2.418279259E+02   3.563408040E-01   2.270036522E+01
  1.8000000E+02   4.924996754E-01   1.421943459E-02   9.806153887E-01   2.157714187E+02   8.270436339E-01   2.281197079E+01
  1.9000000E+02   4.924103173E-01   1.303533772E-02   9.796406701E-01   1.922509040E+02   1.451427675E+00   2.291694416E+01
  2.0000000E+02   4.923332523E-01   1.149113413E-02   9.786535461E-01   1.730674411E+02   2.697160150E-01   2.302910853E+01
  2.1000000E+02   4.922439953E-01   1.038319265E-02   9.775143590E-01   1.537324720E+02   1.628938212E+00   2.312849104E+01
  2.2000000E+02   4.921840479E-01   9.405915060E-03   9.765120989E-01   1.378103558E+02   1.863132499E+00   2.321878143E+01
  2.3000000E+02   4.921265076E-01   8.521325438E-03   9.753972484E-01   1.249256409E+02   1.217748862E+00   2.331952916E+01
  2.4000000E+02   4.920865925E-01   7.526415597E-03   9.744034467E-01   1.132441180E+02   1.472130480E+00   2.340612216E+01
  2.5000000E+02   4.919814849E-01   6.800377793E-03   9.734685742E-01   1.048406602E+02   4.937375869E-01   2.349251849E+01
  2.6000000E+02   4.919187065E-01   5.931377859E-03   9.722264954E-01   9.637755933E+01   1.590296322E+00   2.356707928E+01
  2.7000000E+02   4.918640793E-01   5.486642814E-03   9.711580998E-01   8.920827822E+01   3.324572226E+00   2.365066840E+01
  2.8000000E+02   4.918030379E-01   4.922925765E-03   9.701367974E-01   8.599587647E+01   3.042526820E+00   2.371789698E+01
  2.9000000E+02   4.917511787E-01   4.580106124E-03   9.689509491E-01   8.535542644E+01   2.073408645E+00   2.378183904E+01
  3.0000000E+02   4.916856888E-01   4.019920611E-03   9.677520893E-01   8.775958578E+01   3.599334142E+02   2.384901781E+01
  3.1000000E+02   4.916410189E-01   3.561612207E-03   9.666566238E-01   8.813288726E+01   1.677525972E+00   2.391349364E+01
  3.2000000E+02   4.915725718E-01   3.138985067E-03   9.655844728E-01   9.450763813E+01   3.592668108E+02   2.397081306E+01
  3.3000000E+02   4.915245909E-01   2.732819494E-03   9.644626411E-01   9.871908151E+01   8.557213114E-01   2.402325714E+01
  3.4000000E+02   4.914646950E-01   2.559894439E-03   9.633271502E-01   1.055095128E+02   1.684195973E+00   2.407194234E+01
  3.5000000E+02   4.914075983E-01   2.217518583E-03   9.621597716E-01   1.167094826E+02   3.599234501E+02   2.411719969E+01
  3.6000000E+02   4.913589202E-01   2.079159425E-03   9.609676303E-01   1.260344866E+02   1.845496106E+00   2.416015367E+01
  3.7000000E+02   4.912892040E-01   2.017127925E-03   9.597274536E-01   1.399514634E+02   9.889710312E-01   2.419908425E+01
  3.8000000E+02   4.912454335E-01   1.761559753E-03   9.584827025E-01   1.542547197E+02   1.550830913E+00   2.422929043E+01
  3.9000000E+02   4.911822854E-01   1.700046192E-03   9.573385684E-01   1.664901053E+02   5.982190356E+00   2.425436866E+01
  4.0000000E+02   4.911196041E-01   1.563854698E-03   9.562239411E-01   1.832463715E+02   7.682007192E+00   2.428663090E+01
